Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.11724375,5729.9,-9.3566,0.00613,Rexolite,"10084.53, Apollo 11, Mature high Ti Mare",9.04,9.04,34.92,32.58,7.11,304.8,58.16,29.08,1.675,9,21.54166667,60.5775,38.299,1593.7,2.98E-02,1.27E-02
0,0,5.117196875,5716.3,-9.3761,,,,,,,,,,,,,,,,,,,
250,1.5325,5.11691875,5682.2,-9.4298,,,,,,,,,,,,,,,,,,,
500,3.065,5.11601875,5612.6,-9.543,,,,,,,,,,,,,,,,,,,
750,4.5975,5.11436875,5473.4,-9.7617,,,,,,,,,,,,,,,,,,,
1000,6.13,5.111984375,5255.1,-10.133,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.10885,4958.2,-10.654,,,,,,,,,,,,,,,,,,,
1500,9.195,5.105215625,4625.9,-11.29,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.101078125,4281.4,-11.996,,,,,,,,,,,,,,,,,,,
2000,12.26,5.096596875,3953.5,-12.725,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.091934375,3661.9,-13.429,,,,,,,,,,,,,,,,,,,
2500,15.325,5.087378125,3417.7,-14.069,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.0828875,3210.9,-14.646,,,,,,,,,,,,,,,,,,,
3000,18.39,5.078415625,3032.5,-15.166,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.07406875,2883,-15.633,,,,,,,,,,,,,,,,,,,
3500,21.455,5.070021875,2761.5,-16.022,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.066034375,2660.6,-16.367,,,,,,,,,,,,,,,,,,,
4000,24.52,5.062303125,2584.8,-16.623,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.0589875,2536.1,-16.787,,,,,,,,,,,,,,,,,,,
4500,27.585,5.05609375,2500.8,-16.908,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.053021875,2452,-17.09,,,,,,,,,,,,,,,,,,,
5000,30.65,5.047853125,2323.7,-17.58,,,,,,,,,,,,,,,,,,,
