Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Aeff
-400,-2.452,3.562546875,7986.7,-14.194,0.00613,None,KelF,9.01,9.01,34.88,34.88,0,304.8,58.16,29.08,1.675,5,61.9974
-200,-1.226,3.56253125,7991.3,-14.221,,,,,,,,,,,,,,
0,0,3.562478125,7964.1,-14.242,,,,,,,,,,,,,,
200,1.226,3.56229375,7916.6,-14.284,,,,,,,,,,,,,,
400,2.452,3.56185,7818.5,-14.397,,,,,,,,,,,,,,
600,3.678,3.561165625,7658.7,-14.59,,,,,,,,,,,,,,
800,4.904,3.560284375,7445.8,-14.84,,,,,,,,,,,,,,
1000,6.13,3.559265625,7210.3,-15.125,,,,,,,,,,,,,,
1200,7.356,3.55814375,6962,-15.449,,,,,,,,,,,,,,
1400,8.582,3.55698125,6706.3,-15.782,,,,,,,,,,,,,,
1600,9.808,3.555721875,6452.1,-16.135,,,,,,,,,,,,,,
1800,11.034,3.5544125,6207.1,-16.493,,,,,,,,,,,,,,
2000,12.26,3.55306875,5973.3,-16.849,,,,,,,,,,,,,,
2200,13.486,3.55171875,5747.5,-17.204,,,,,,,,,,,,,,
2400,14.712,3.550353125,5537.5,-17.549,,,,,,,,,,,,,,
2600,15.938,3.54898125,5337.8,-17.888,,,,,,,,,,,,,,
2800,17.164,3.54755,5145.2,-18.226,,,,,,,,,,,,,,
3000,18.39,3.546128125,4965.3,-18.56,,,,,,,,,,,,,,
3200,19.616,3.54473125,4795.7,-18.877,,,,,,,,,,,,,,
3400,20.842,3.543325,4637.6,-19.187,,,,,,,,,,,,,,
3600,22.068,3.5419,4485.7,-19.494,,,,,,,,,,,,,,
3800,23.294,3.54045625,4346.3,-19.788,,,,,,,,,,,,,,
4000,24.52,3.538928125,4232.9,-20.037,,,,,,,,,,,,,,
