Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117253125,5759.1,-9.9411,0.00613,Rexolite,"15041.4, Apollo 15, Mature low Ti Mare",9.11,9.11,34.9,32.56,7.03,304.8,58.16,29.08,1.675,9,24.527,61.465,37.4718,1439,3.02E-02,1.21E-02
0,0,5.117215625,5743,-9.3591,,,,,,,,,,,,,,,,,,,
250,1.5325,5.116971875,5725.5,-9.38,,,,,,,,,,,,,,,,,,,
500,3.065,5.116153125,5686.5,-9.4387,,,,,,,,,,,,,,,,,,,
750,4.5975,5.114625,5619,-9.5549,,,,,,,,,,,,,,,,,,,
1000,6.13,5.11245625,5509.9,-9.7382,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.1096875,5365.4,-9.9895,,,,,,,,,,,,,,,,,,,
1500,9.195,5.106525,5201.5,-10.285,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.10301875,5027.3,-10.612,,,,,,,,,,,,,,,,,,,
2000,12.26,5.099265625,4849.9,-10.966,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.095378125,4679.3,-11.3,,,,,,,,,,,,,,,,,,,
2500,15.325,5.091503125,4524,-11.628,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.087665625,4384.7,-11.925,,,,,,,,,,,,,,,,,,,
3000,18.39,5.083871875,4262.3,-12.203,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.080171875,4155,-12.522,,,,,,,,,,,,,,,,,,,
3500,21.455,5.07656875,4059.4,-12.725,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.07311875,3980.3,-12.884,,,,,,,,,,,,,,,,,,,
4000,24.52,5.0698125,3916.2,-13.02,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.06689375,3870.6,-13.116,,,,,,,,,,,,,,,,,,,
4500,27.585,5.064421875,3837.5,-13.183,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.061775,3789.2,-13.301,,,,,,,,,,,,,,,,,,,
5000,30.65,5.057284375,3666.4,-13.596,,,,,,,,,,,,,,,,,,,
