Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample length (mm),Sample OD (mm),Sample Aeff,Aeff,Comment,DelAeff_s,DelAeff_h
-400,-2.452,3.56255,7976.9,-14.238,0.00613,Rexolite,PET,9,9.32,35,32.1,1.19,304.8,58.16,29.08,1.675,5,26.09,6.84,36.1545,61.8637,,4.81E-03,1.28E-02
-200,-1.226,3.562534375,7975.9,-14.244,,,,,,,,,,,,,,,,,,,,
0,0,3.56248125,7953.7,-14.265,,,,,,,,,,,,,,,,,,,,
200,1.226,3.562321875,7934.5,-14.29,,,,,,,,,,,,,,,,,,,,
400,2.452,3.561890625,7899.3,-14.334,,,,,,,,,,,,,,,,,,,,
600,3.678,3.561184375,7832.1,-14.416,,,,,,,,,,,,,,,,,,,,
800,4.904,3.560284375,7732.2,-14.538,,,,,,,,,,,,,,,,,,,,
1000,6.13,3.5591625,7587.9,-14.714,,,,,,,,,,,,,,,,,,,,
1200,7.356,3.557865625,7404,-14.942,,,,,,,,,,,,,,,,,,,,
1400,8.582,3.556428125,7195.7,-15.21,,,,,,,,,,,,,,,,,,,,
1600,9.808,3.55489375,6966.9,-15.504,,,,,,,,,,,,,,,,,,,,
1800,11.034,3.553215625,6727.8,-15.823,,,,,,,,,,,,,,,,,,,,
2000,12.26,3.551478125,6489.5,-16.155,,,,,,,,,,,,,,,,,,,,
2200,13.486,3.549690625,6261.1,-16.487,,,,,,,,,,,,,,,,,,,,
2400,14.712,3.547853125,6037.3,-16.816,,,,,,,,,,,,,,,,,,,,
2600,15.938,3.545984375,5822.2,-17.148,,,,,,,,,,,,,,,,,,,,
2800,17.164,3.5441125,5621.1,-17.477,,,,,,,,,,,,,,,,,,,,
3000,18.39,3.542215625,5421.2,-17.8,,,,,,,,,,,,,,,,,,,,
3200,19.616,3.540284375,5245,-18.111,,,,,,,,,,,,,,,,,,,,
3400,20.842,3.538353125,5076.1,-18.412,,,,,,,,,,,,,,,,,,,,
3600,22.068,3.536434375,4922.3,-18.709,,,,,,,,,,,,,,,,,,,,
3800,23.294,3.534490625,4769,-18.998,,,,,,,,,,,,,,,,,,,,
4000,24.52,3.5325375,4621.3,-19.283,,,,,,,,,,,,,,,,,,,,
4200,25.746,3.5305875,4488.6,-19.564,,,,,,,,,,,,,,,,,,,,
4400,26.972,3.528553125,4357.9,-19.841,,,,,,,,,,,,,,,,,,,,
4600,28.198,3.526446875,4248.9,-20.106,,,,,,,,,,,,,,,,,,,,
4800,29.424,3.52406875,4119.7,-20.393,,,,,,,,,,,,,,,,,,,,
5000,30.65,3.521628125,4007.4,-20.675,,,,,,,,,,,,,,,,,,,,
