Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117265625,5747.2,-9.3238,0.00613,Rexolite,"63501.5, Apollo 16, Submature highland",9.1,9.1,34.89,32.67,6.92,304.8,58.16,29.08,1.675,9,24.531,61.3379,36.3477,1528.9,3.06E-02,1.16E-03
0,0,5.117215625,5739.4,-9.3381,,,,,,,,,,,,,,,,,,,
250,1.5325,5.116971875,5721.4,-9.3668,,,,,,,,,,,,,,,,,,,
500,3.065,5.116109375,5687.9,-9.4235,,,,,,,,,,,,,,,,,,,
750,4.5975,5.114521875,5619,-9.5333,,,,,,,,,,,,,,,,,,,
1000,6.13,5.112246875,5519.5,-9.7038,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.109278125,5396.9,-9.9185,,,,,,,,,,,,,,,,,,,
1500,9.195,5.105878125,5271.4,-10.145,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.10211875,5136.5,-10.402,,,,,,,,,,,,,,,,,,,
2000,12.26,5.098140625,4996.1,-10.678,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.09398125,4868.7,-10.939,,,,,,,,,,,,,,,,,,,
2500,15.325,5.089875,4747.5,-11.192,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.0858125,4638.1,-11.425,,,,,,,,,,,,,,,,,,,
3000,18.39,5.081740625,4541.2,-11.638,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.07774375,4451.1,-11.829,,,,,,,,,,,,,,,,,,,
3500,21.455,5.0737875,4374.3,-11.996,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.0699125,4306.5,-12.146,,,,,,,,,,,,,,,,,,,
4000,24.52,5.066015625,4241.8,-12.276,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.06219375,4193.3,-12.385,,,,,,,,,,,,,,,,,,,
4500,27.585,5.0585125,4149.3,-12.481,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.054815625,4098.9,-12.592,,,,,,,,,,,,,,,,,,,
5000,30.65,5.049496875,4000,-12.826,,,,,,,,,,,,,,,,,,,
