Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117259375,5742.2,-9.4188,0.00613,Rexolite,"10084.25, Apollo 11, Mature high Ti Mare",9.09,9.09,35.02,32.55,7.06,304.8,58.16,29.08,1.675,9,22.66285714,61.2109,37.7811,1719.1,2.99E-02,1.22E-02
0,0,5.117215625,5721.4,-9.4167,,,,,,,,,,,,,,,,,,,
250,1.5325,5.11698125,5690.3,-9.4878,,,,,,,,,,,,,,,,,,,
500,3.065,5.1161625,5625.3,-9.6063,,,,,,,,,,,,,,,,,,,
750,4.5975,5.114590625,5484,-9.8105,,,,,,,,,,,,,,,,,,,
1000,6.13,5.112253125,5264.5,-10.2,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.10915,4947.9,-10.756,,,,,,,,,,,,,,,,,,,
1500,9.195,5.105496875,4578.8,-11.454,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.1013,4197.1,-12.239,,,,,,,,,,,,,,,,,,,
2000,12.26,5.096640625,3833.3,-13.061,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.091653125,3495.4,-13.903,,,,,,,,,,,,,,,,,,,
2500,15.325,5.0866125,3204.8,-14.674,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.081534375,2956.6,-15.387,,,,,,,,,,,,,,,,,,,
3000,18.39,5.0764,2755.4,-16.042,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.071509375,2597.1,-16.597,,,,,,,,,,,,,,,,,,,
3500,21.455,5.0670625,2474.9,-17.003,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.0627375,2377.7,-17.357,,,,,,,,,,,,,,,,,,,
4000,24.52,5.0585875,2299.5,-17.659,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.054709375,2238.7,-17.9,,,,,,,,,,,,,,,,,,,
4500,27.585,5.051109375,2188.3,-18.1,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.047359375,2134.9,-18.328,,,,,,,,,,,,,,,,,,,
5000,30.65,5.041659375,2028.8,-18.801,,,,,,,,,,,,,,,,,,,
