Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117253125,5742,-9.3332,0.00613,Rexolite,"67601.2, Apollo 16, Submature highland",9.1,9.1,34.97,32.75,7.07,304.8,58.16,29.08,1.675,9,24.211,61.3379,37.8844,1713.6,3.001951,1.24E-02
0,0,5.1172,5728.3,-9.3582,,,,,,,,,,,,,,,,,,,
250,1.5325,5.11691875,5707.5,-9.3975,,,,,,,,,,,,,,,,,,,
500,3.065,5.116040625,5656.6,-9.4768,,,,,,,,,,,,,,,,,,,
750,4.5975,5.11440625,5576.6,-9.6122,,,,,,,,,,,,,,,,,,,
1000,6.13,5.112046875,5466.6,-9.7979,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.108984375,5334,-10.034,,,,,,,,,,,,,,,,,,,
1500,9.195,5.105465625,5193.7,-10.292,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.10150625,5054.9,-10.557,,,,,,,,,,,,,,,,,,,
2000,12.26,5.09725625,4925.7,-10.818,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.092840625,4801,-11.073,,,,,,,,,,,,,,,,,,,
2500,15.325,5.0884875,4692.4,-11.303,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.0842,4597.9,-11.508,,,,,,,,,,,,,,,,,,,
3000,18.39,5.079928125,4507.3,-11.705,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.07573125,4430.7,-11.871,,,,,,,,,,,,,,,,,,,
3500,21.455,5.071646875,4365.1,-12.014,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.067596875,4306,-12.145,,,,,,,,,,,,,,,,,,,
4000,24.52,5.063471875,4250.2,-12.271,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.059340625,4205.2,-12.374,,,,,,,,,,,,,,,,,,,
4500,27.585,5.055159375,4164.5,-12.47,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.05075625,4114,-12.59,,,,,,,,,,,,,,,,,,,
5000,30.65,5.044275,4020.3,-12.824,,,,,,,,,,,,,,,,,,,
