Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117259375,5747.3,-9.328,0.00613,Rexolite,"67601.6, Apollo 16, Submature highland",9.08,9.08,34.98,32.78,7.04,304.8,58.16,29.08,1.675,9,24.262,61.084,37.5748,1517.9,3.05E-02,1.21E-02
0,0,5.117215625,5737.8,-9.3485,,,,,,,,,,,,,,,,,,,
250,1.5325,5.116946875,5718.8,-9.3786,,,,,,,,,,,,,,,,,,,
500,3.065,5.11606875,5679.6,-9.4429,,,,,,,,,,,,,,,,,,,
750,4.5975,5.1144625,5608.3,-9.5636,,,,,,,,,,,,,,,,,,,
1000,6.13,5.112171875,5515.5,-9.7257,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.109196875,5402.7,-9.9264,,,,,,,,,,,,,,,,,,,
1500,9.195,5.1058,5283.7,-10.144,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.10198125,5161.2,-10.376,,,,,,,,,,,,,,,,,,,
2000,12.26,5.097971875,5040.9,-10.615,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.0937625,4925.7,-10.845,,,,,,,,,,,,,,,,,,,
2500,15.325,5.089578125,4819.4,-11.066,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.0853625,4721.3,-11.271,,,,,,,,,,,,,,,,,,,
3000,18.39,5.081153125,4631.3,-11.464,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.077028125,4557.6,-11.625,,,,,,,,,,,,,,,,,,,
3500,21.455,5.073090625,4492,-11.764,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.069259375,4438.8,-11.878,,,,,,,,,,,,,,,,,,,
4000,24.52,5.065475,4399.2,-11.97,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.062,4368.5,-12.038,,,,,,,,,,,,,,,,,,,
4500,27.585,5.058971875,4344.5,-12.091,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.055990625,4311.1,-12.163,,,,,,,,,,,,,,,,,,,
5000,30.65,5.05084375,4213.2,,,,,,,,,,,,,,,,,,,,
