Step,height (mm),Frequency (GHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,sample height (mm),Aeff,Sample Aeff,Sample Weight (mg),DelAeff_h,DelAeff_s
-250,-1.5325,5.117253125,5746.4,-9.332,0.00613,Rexolite,"67601.22, Apollo 16, Submature highland",9.06,9.06,34.91,32.59,7.07,304.8,58.16,29.08,1.675,9,23.874,60.8305,37.8844,1654.1,2.91E-02,1.24E-02
0,0,5.117215625,5736.5,-9.3433,,,,,,,,,,,,,,,,,,,
250,1.5325,5.11699375,5713.8,-9.3799,,,,,,,,,,,,,,,,,,,
500,3.065,5.116215625,5671.8,-9.4607,,,,,,,,,,,,,,,,,,,
750,4.5975,5.114725,5597.8,-9.5849,,,,,,,,,,,,,,,,,,,
1000,6.13,5.112534375,5489.5,-9.7652,,,,,,,,,,,,,,,,,,,
1250,7.6625,5.109653125,5360.7,-9.9888,,,,,,,,,,,,,,,,,,,
1500,9.195,5.10630975,5218.7,-10.247,,,,,,,,,,,,,,,,,,,
1750,10.7275,5.102478125,5075.2,-10.516,,,,,,,,,,,,,,,,,,,
2000,12.26,5.098315625,4934.2,-10.794,,,,,,,,,,,,,,,,,,,
2250,13.7925,5.093834375,4799.2,-11.061,,,,,,,,,,,,,,,,,,,
2500,15.325,5.08924375,4688.9,-11.299,,,,,,,,,,,,,,,,,,,
2750,16.8575,5.08461875,4588.3,-11.515,,,,,,,,,,,,,,,,,,,
3000,18.39,5.080003125,4491.9,-11.728,,,,,,,,,,,,,,,,,,,
3250,19.9225,5.075471875,4412.8,-11.903,,,,,,,,,,,,,,,,,,,
3500,21.455,5.070984375,4361.3,-12.024,,,,,,,,,,,,,,,,,,,
3750,22.9875,5.06683125,4304.8,-12.54,,,,,,,,,,,,,,,,,,,
4000,24.52,5.062809375,4253.3,-12.27,,,,,,,,,,,,,,,,,,,
4250,26.0525,5.058940625,4220.3,-12.353,,,,,,,,,,,,,,,,,,,
4500,27.585,5.0553125,4185.6,-12.43,,,,,,,,,,,,,,,,,,,
4750,29.1175,5.051796875,4149.6,-12.521,,,,,,,,,,,,,,,,,,,
5000,30.65,5.04685624,4077.8,-12.696,,,,,,,,,,,,,,,,,,,
